Question,Query
,"Sure, I can help you with SQL queries for the MASTER database.

**1. Retrieve all records for students with a CGPA greater than 9:**

```
SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE CGPA > 9;
```

**2. Find the count of students with active backlogs:**

```
SELECT COUNT(*) AS Active_Backlogs_Count
FROM MASTER
WHERE `Active Backlogs` > 0;
```

**3. Show details for students who have an academic gap of more than 1 year:**

```
SELECT Name, Registration, SECTION, Academic_Gap
FROM MASTER
WHERE Academic_Gap > 1;
```

**4. Get the average CGPA for students in the 'Data Science' UG-Specialization:**

```
SELECT AVG(CGPA) AS Average_CGPA
FROM MASTER
WHERE Specialization = 'Data Science'
AND Department = 'UG';
```

**5. Find students from a specific city and state:**

```
SELECT Name, Registration, SECTION, City, State
FROM MASTER
WHERE City = 'Pune'
AND State = 'Maharashtra';
```

**6. Show the top 5 students based on their 12th percentage:**

```
SELECT Name, Registration, SECTION, `12-Percentage`
FROM MASTER
ORDER BY `12-Percentage` DESC
LIMIT 5;
```

**7. Retrieve details for students born after a certain date:**

```
SELECT Name, Registration, SECTION, DOB
FROM MASTER
WHERE DOB > '1995-01-01';
```

**8. Retrieve complete details of the Student using LIKE Method or Function:**

```
SELECT *
FROM MASTER
WHERE Name LIKE '%John%';
```

**9. Find the Details of the Entered Registration Number:**

```
SELECT *
FROM MASTER
WHERE Registration = '99200';
```

**10. Search if that 4 digit number is any sub number of any Registration number and return the Details:**

```
SELECT *
FROM MASTER
WHERE Registration LIKE '%9920%';
```

Remember to replace the placeholder values (e.g., 'John', '99200', '9920') with the actual values you want to search for.

I hope this helps! Let me know if you have any other questions."
,"Sure, I can help you with SQL queries for the MASTER database.

**1. Retrieve all records for students with a CGPA greater than 9:**

```
SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE CGPA > 9;
```

**2. Find the count of students with active backlogs:**

```
SELECT COUNT(*) AS Active_Backlogs_Count
FROM MASTER
WHERE `Active Backlogs` > 0;
```

**3. Show details for students who have an academic gap of more than 1 year:**

```
SELECT Name, Registration, SECTION, Academic_Gap
FROM MASTER
WHERE Academic_Gap > 1;
```

**4. Get the average CGPA for students in the 'Data Science' UG-Specialization:**

```
SELECT AVG(CGPA) AS Average_CGPA
FROM MASTER
WHERE Specialization = 'Data Science'
AND Department = 'UG';
```

**5. Find students from a specific city and state:**

```
SELECT Name, Registration, SECTION, City, State
FROM MASTER
WHERE City = 'Pune'
AND State = 'Maharashtra';
```

**6. Show the top 5 students based on their 12th percentage:**

```
SELECT Name, Registration, SECTION, `12-Percentage`
FROM MASTER
ORDER BY `12-Percentage` DESC
LIMIT 5;
```

**7. Retrieve details for students born after a certain date:**

```
SELECT Name, Registration, SECTION, DOB
FROM MASTER
WHERE DOB > '1995-01-01';
```

**8. Retrieve complete details of the Student using LIKE Method or Function:**

```
SELECT *
FROM MASTER
WHERE Name LIKE '%John%';
```

**9. Find the Details of the Entered Registration Number:**

```
SELECT *
FROM MASTER
WHERE Registration = '99200';
```

**10. Search if that 4 digit number is any sub number of any Registration number and return the Details:**

```
SELECT *
FROM MASTER
WHERE Registration LIKE '%9920%';
```

Remember to replace the placeholder values (e.g., 'John', '99200', '9920') with the actual values you want to search for.

I hope this helps! Let me know if you have any other questions."
,"Sure, I can help you with SQL queries for the MASTER database.

**1. Retrieve all records for students with a CGPA greater than 9:**

```
SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE CGPA > 9;
```

**2. Find the count of students with active backlogs:**

```
SELECT COUNT(*) AS Active_Backlogs_Count
FROM MASTER
WHERE `Active Backlogs` > 0;
```

**3. Show details for students who have an academic gap of more than 1 year:**

```
SELECT Name, Registration, SECTION, Academic_Gap
FROM MASTER
WHERE Academic_Gap > 1;
```

**4. Get the average CGPA for students in the 'Data Science' UG-Specialization:**

```
SELECT AVG(CGPA) AS Average_CGPA
FROM MASTER
WHERE Specialization = 'Data Science'
AND Department = 'UG';
```

**5. Find students from a specific city and state:**

```
SELECT Name, Registration, SECTION, City, State
FROM MASTER
WHERE City = 'Pune'
AND State = 'Maharashtra';
```

**6. Show the top 5 students based on their 12th percentage:**

```
SELECT Name, Registration, SECTION, `12-Percentage`
FROM MASTER
ORDER BY `12-Percentage` DESC
LIMIT 5;
```

**7. Retrieve details for students born after a certain date:**

```
SELECT Name, Registration, SECTION, DOB
FROM MASTER
WHERE DOB > '1995-01-01';
```

**8. Retrieve complete details of the Student using LIKE Method or Function:**

```
SELECT *
FROM MASTER
WHERE Name LIKE '%John%';
```

**9. Find the Details of the Entered Registration Number:**

```
SELECT *
FROM MASTER
WHERE Registration = '99200';
```

**10. Search if that 4 digit number is any sub number of any Registration number and return the Details:**

```
SELECT *
FROM MASTER
WHERE Registration LIKE '%9920%';
```

Remember to replace the placeholder values (e.g., 'John', '99200', '9920') with the actual values you want to search for.

I hope this helps! Let me know if you have any other questions."
,"Sure, I can help you with SQL queries for the MASTER database.

**1. Retrieve all records for students with a CGPA greater than 9:**

```
SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE CGPA > 9;
```

**2. Find the count of students with active backlogs:**

```
SELECT COUNT(*) AS Active_Backlogs_Count
FROM MASTER
WHERE `Active Backlogs` > 0;
```

**3. Show details for students who have an academic gap of more than 1 year:**

```
SELECT Name, Registration, SECTION, Academic_Gap
FROM MASTER
WHERE Academic_Gap > 1;
```

**4. Get the average CGPA for students in the 'Data Science' UG-Specialization:**

```
SELECT AVG(CGPA) AS Average_CGPA
FROM MASTER
WHERE Specialization = 'Data Science'
AND Department = 'UG';
```

**5. Find students from a specific city and state:**

```
SELECT Name, Registration, SECTION, City, State
FROM MASTER
WHERE City = 'Pune'
AND State = 'Maharashtra';
```

**6. Show the top 5 students based on their 12th percentage:**

```
SELECT Name, Registration, SECTION, `12-Percentage`
FROM MASTER
ORDER BY `12-Percentage` DESC
LIMIT 5;
```

**7. Retrieve details for students born after a certain date:**

```
SELECT Name, Registration, SECTION, DOB
FROM MASTER
WHERE DOB > '1995-01-01';
```

**8. Retrieve complete details of the Student using LIKE Method or Function:**

```
SELECT *
FROM MASTER
WHERE Name LIKE '%John%';
```

**9. Find the Details of the Entered Registration Number:**

```
SELECT *
FROM MASTER
WHERE Registration = '99200';
```

**10. Search if that 4 digit number is any sub number of any Registration number and return the Details:**

```
SELECT *
FROM MASTER
WHERE Registration LIKE '%9920%';
```

Remember to replace the placeholder values (e.g., 'John', '99200', '9920') with the actual values you want to search for.

I hope this helps! Let me know if you have any other questions."
,"Sure, I can help you with SQL queries for the MASTER database.

**1. Retrieve all records for students with a CGPA greater than 9:**

```
SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE CGPA > 9;
```

**2. Find the count of students with active backlogs:**

```
SELECT COUNT(*) AS Active_Backlogs_Count
FROM MASTER
WHERE `Active Backlogs` > 0;
```

**3. Show details for students who have an academic gap of more than 1 year:**

```
SELECT Name, Registration, SECTION, Academic_Gap
FROM MASTER
WHERE Academic_Gap > 1;
```

**4. Get the average CGPA for students in the 'Data Science' UG-Specialization:**

```
SELECT AVG(CGPA) AS Average_CGPA
FROM MASTER
WHERE Specialization = 'Data Science'
AND Department = 'UG';
```

**5. Find students from a specific city and state:**

```
SELECT Name, Registration, SECTION, City, State
FROM MASTER
WHERE City = 'Pune'
AND State = 'Maharashtra';
```

**6. Show the top 5 students based on their 12th percentage:**

```
SELECT Name, Registration, SECTION, `12-Percentage`
FROM MASTER
ORDER BY `12-Percentage` DESC
LIMIT 5;
```

**7. Retrieve details for students born after a certain date:**

```
SELECT Name, Registration, SECTION, DOB
FROM MASTER
WHERE DOB > '1995-01-01';
```

**8. Retrieve complete details of the Student using LIKE Method or Function:**

```
SELECT *
FROM MASTER
WHERE Name LIKE '%John%';
```

**9. Find the Details of the Entered Registration Number:**

```
SELECT *
FROM MASTER
WHERE Registration = '99200';
```

**10. Search if that 4 digit number is any sub number of any Registration number and return the Details:**

```
SELECT *
FROM MASTER
WHERE Registration LIKE '%9920%';
```

Remember to replace the placeholder values (e.g., 'John', '99200', '9920') with the actual values you want to search for.

I hope this helps! Let me know if you have any other questions."
Sanjay,"SELECT Name, Registration, Section, CGPA FROM MASTER WHERE Name LIKE '%Sanjay%';"
,"Retrieve the names of students with a CGPA greater than 9.

SELECT DISTINCT Name
FROM MASTER
WHERE CGPA>9;


Find the count of students from the 'Computer Science' UG-Specialization.

SELECT COUNT(Name)
FROM MASTER
WHERE Specialization = 'Computer Science';


Show details of students who have an academic gap of more than 1 year.

SELECT Name, Registration, DOB, Academic Gap
FROM MASTER
WHERE Academic Gap > 1;


Get the average CGPA for students in the 'Data Science' UG-Specialization.

SELECT AVG(CGPA)
FROM MASTER
WHERE Specialization = 'Data Science';


Find students from a specific city and state.

SELECT *
FROM MASTER
WHERE City = 'Bangalore' AND State = 'Karnataka';


Show the top 5 students based on their 12th percentage.

SELECT Name, Registration, Section, CGPA
FROM MASTER
ORDER BY `12-Percentage` DESC
LIMIT 5;


Retrieve details for students born after a certain date.

SELECT *
FROM MASTER
WHERE DOB > '1995-01-01';


using LIKE Method or Function

Retrieve complete details of the Student whose name starts with 'John'.

SELECT *
FROM MASTER
WHERE Name LIKE 'John%';


Find the Details of the Registration Number entered by user.

SELECT *
FROM MASTER
WHERE Registration = '99200';


Search if the entered 4 digit number is any sub number of any Registration number and return the Details.

SELECT *
FROM MASTER
WHERE Registration LIKE '%abcd%'
AND LENGTH(abcd) = 4;"
,"Retrieve the names of students with a CGPA greater than 9.

SELECT DISTINCT Name
FROM MASTER
WHERE CGPA>9;


Find the count of students from the 'Computer Science' UG-Specialization.

SELECT COUNT(Name)
FROM MASTER
WHERE Specialization = 'Computer Science';


Show details of students who have an academic gap of more than 1 year.

SELECT Name, Registration, DOB, Academic Gap
FROM MASTER
WHERE Academic Gap > 1;


Get the average CGPA for students in the 'Data Science' UG-Specialization.

SELECT AVG(CGPA)
FROM MASTER
WHERE Specialization = 'Data Science';


Find students from a specific city and state.

SELECT *
FROM MASTER
WHERE City = 'Bangalore' AND State = 'Karnataka';


Show the top 5 students based on their 12th percentage.

SELECT Name, Registration, Section, CGPA
FROM MASTER
ORDER BY `12-Percentage` DESC
LIMIT 5;


Retrieve details for students born after a certain date.

SELECT *
FROM MASTER
WHERE DOB > '1995-01-01';


using LIKE Method or Function

Retrieve complete details of the Student whose name starts with 'John'.

SELECT *
FROM MASTER
WHERE Name LIKE 'John%';


Find the Details of the Registration Number entered by user.

SELECT *
FROM MASTER
WHERE Registration = '99200';


Search if the entered 4 digit number is any sub number of any Registration number and return the Details.

SELECT *
FROM MASTER
WHERE Registration LIKE '%abcd%'
AND LENGTH(abcd) = 4;"
,"Retrieve the names of students with a CGPA greater than 9.

SELECT DISTINCT Name
FROM MASTER
WHERE CGPA>9;


Find the count of students from the 'Computer Science' UG-Specialization.

SELECT COUNT(Name)
FROM MASTER
WHERE Specialization = 'Computer Science';


Show details of students who have an academic gap of more than 1 year.

SELECT Name, Registration, DOB, Academic Gap
FROM MASTER
WHERE Academic Gap > 1;


Get the average CGPA for students in the 'Data Science' UG-Specialization.

SELECT AVG(CGPA)
FROM MASTER
WHERE Specialization = 'Data Science';


Find students from a specific city and state.

SELECT *
FROM MASTER
WHERE City = 'Bangalore' AND State = 'Karnataka';


Show the top 5 students based on their 12th percentage.

SELECT Name, Registration, Section, CGPA
FROM MASTER
ORDER BY `12-Percentage` DESC
LIMIT 5;


Retrieve details for students born after a certain date.

SELECT *
FROM MASTER
WHERE DOB > '1995-01-01';


using LIKE Method or Function

Retrieve complete details of the Student whose name starts with 'John'.

SELECT *
FROM MASTER
WHERE Name LIKE 'John%';


Find the Details of the Registration Number entered by user.

SELECT *
FROM MASTER
WHERE Registration = '99200';


Search if the entered 4 digit number is any sub number of any Registration number and return the Details.

SELECT *
FROM MASTER
WHERE Registration LIKE '%abcd%'
AND LENGTH(abcd) = 4;"
,"Retrieve the names of students with a CGPA greater than 9.

SELECT DISTINCT Name
FROM MASTER
WHERE CGPA>9;


Find the count of students from the 'Computer Science' UG-Specialization.

SELECT COUNT(Name)
FROM MASTER
WHERE Specialization = 'Computer Science';


Show details of students who have an academic gap of more than 1 year.

SELECT Name, Registration, DOB, Academic Gap
FROM MASTER
WHERE Academic Gap > 1;


Get the average CGPA for students in the 'Data Science' UG-Specialization.

SELECT AVG(CGPA)
FROM MASTER
WHERE Specialization = 'Data Science';


Find students from a specific city and state.

SELECT *
FROM MASTER
WHERE City = 'Bangalore' AND State = 'Karnataka';


Show the top 5 students based on their 12th percentage.

SELECT Name, Registration, Section, CGPA
FROM MASTER
ORDER BY `12-Percentage` DESC
LIMIT 5;


Retrieve details for students born after a certain date.

SELECT *
FROM MASTER
WHERE DOB > '1995-01-01';


using LIKE Method or Function

Retrieve complete details of the Student whose name starts with 'John'.

SELECT *
FROM MASTER
WHERE Name LIKE 'John%';


Find the Details of the Registration Number entered by user.

SELECT *
FROM MASTER
WHERE Registration = '99200';


Search if the entered 4 digit number is any sub number of any Registration number and return the Details.

SELECT *
FROM MASTER
WHERE Registration LIKE '%abcd%'
AND LENGTH(abcd) = 4;"
,"Retrieve the names of students with a CGPA greater than 9.

SELECT DISTINCT Name
FROM MASTER
WHERE CGPA>9;


Find the count of students from the 'Computer Science' UG-Specialization.

SELECT COUNT(Name)
FROM MASTER
WHERE Specialization = 'Computer Science';


Show details of students who have an academic gap of more than 1 year.

SELECT Name, Registration, DOB, Academic Gap
FROM MASTER
WHERE Academic Gap > 1;


Get the average CGPA for students in the 'Data Science' UG-Specialization.

SELECT AVG(CGPA)
FROM MASTER
WHERE Specialization = 'Data Science';


Find students from a specific city and state.

SELECT *
FROM MASTER
WHERE City = 'Bangalore' AND State = 'Karnataka';


Show the top 5 students based on their 12th percentage.

SELECT Name, Registration, Section, CGPA
FROM MASTER
ORDER BY `12-Percentage` DESC
LIMIT 5;


Retrieve details for students born after a certain date.

SELECT *
FROM MASTER
WHERE DOB > '1995-01-01';


using LIKE Method or Function

Retrieve complete details of the Student whose name starts with 'John'.

SELECT *
FROM MASTER
WHERE Name LIKE 'John%';


Find the Details of the Registration Number entered by user.

SELECT *
FROM MASTER
WHERE Registration = '99200';


Search if the entered 4 digit number is any sub number of any Registration number and return the Details.

SELECT *
FROM MASTER
WHERE Registration LIKE '%abcd%'
AND LENGTH(abcd) = 4;"
,"Retrieve the names of students with a CGPA greater than 9.

SELECT DISTINCT Name
FROM MASTER
WHERE CGPA>9;


Find the count of students from the 'Computer Science' UG-Specialization.

SELECT COUNT(Name)
FROM MASTER
WHERE Specialization = 'Computer Science';


Show details of students who have an academic gap of more than 1 year.

SELECT Name, Registration, DOB, Academic Gap
FROM MASTER
WHERE Academic Gap > 1;


Get the average CGPA for students in the 'Data Science' UG-Specialization.

SELECT AVG(CGPA)
FROM MASTER
WHERE Specialization = 'Data Science';


Find students from a specific city and state.

SELECT *
FROM MASTER
WHERE City = 'Bangalore' AND State = 'Karnataka';


Show the top 5 students based on their 12th percentage.

SELECT Name, Registration, Section, CGPA
FROM MASTER
ORDER BY `12-Percentage` DESC
LIMIT 5;


Retrieve details for students born after a certain date.

SELECT *
FROM MASTER
WHERE DOB > '1995-01-01';


using LIKE Method or Function

Retrieve complete details of the Student whose name starts with 'John'.

SELECT *
FROM MASTER
WHERE Name LIKE 'John%';


Find the Details of the Registration Number entered by user.

SELECT *
FROM MASTER
WHERE Registration = '99200';


Search if the entered 4 digit number is any sub number of any Registration number and return the Details.

SELECT *
FROM MASTER
WHERE Registration LIKE '%abcd%'
AND LENGTH(abcd) = 4;"
,"Retrieve the names of students with a CGPA greater than 9.

SELECT DISTINCT Name
FROM MASTER
WHERE CGPA>9;


Find the count of students from the 'Computer Science' UG-Specialization.

SELECT COUNT(Name)
FROM MASTER
WHERE Specialization = 'Computer Science';


Show details of students who have an academic gap of more than 1 year.

SELECT Name, Registration, DOB, Academic Gap
FROM MASTER
WHERE Academic Gap > 1;


Get the average CGPA for students in the 'Data Science' UG-Specialization.

SELECT AVG(CGPA)
FROM MASTER
WHERE Specialization = 'Data Science';


Find students from a specific city and state.

SELECT *
FROM MASTER
WHERE City = 'Bangalore' AND State = 'Karnataka';


Show the top 5 students based on their 12th percentage.

SELECT Name, Registration, Section, CGPA
FROM MASTER
ORDER BY `12-Percentage` DESC
LIMIT 5;


Retrieve details for students born after a certain date.

SELECT *
FROM MASTER
WHERE DOB > '1995-01-01';


using LIKE Method or Function

Retrieve complete details of the Student whose name starts with 'John'.

SELECT *
FROM MASTER
WHERE Name LIKE 'John%';


Find the Details of the Registration Number entered by user.

SELECT *
FROM MASTER
WHERE Registration = '99200';


Search if the entered 4 digit number is any sub number of any Registration number and return the Details.

SELECT *
FROM MASTER
WHERE Registration LIKE '%abcd%'
AND LENGTH(abcd) = 4;"
,"Retrieve the names of students with a CGPA greater than 9.

SELECT DISTINCT Name
FROM MASTER
WHERE CGPA>9;


Find the count of students from the 'Computer Science' UG-Specialization.

SELECT COUNT(Name)
FROM MASTER
WHERE Specialization = 'Computer Science';


Show details of students who have an academic gap of more than 1 year.

SELECT Name, Registration, DOB, Academic Gap
FROM MASTER
WHERE Academic Gap > 1;


Get the average CGPA for students in the 'Data Science' UG-Specialization.

SELECT AVG(CGPA)
FROM MASTER
WHERE Specialization = 'Data Science';


Find students from a specific city and state.

SELECT *
FROM MASTER
WHERE City = 'Bangalore' AND State = 'Karnataka';


Show the top 5 students based on their 12th percentage.

SELECT Name, Registration, Section, CGPA
FROM MASTER
ORDER BY `12-Percentage` DESC
LIMIT 5;


Retrieve details for students born after a certain date.

SELECT *
FROM MASTER
WHERE DOB > '1995-01-01';


using LIKE Method or Function

Retrieve complete details of the Student whose name starts with 'John'.

SELECT *
FROM MASTER
WHERE Name LIKE 'John%';


Find the Details of the Registration Number entered by user.

SELECT *
FROM MASTER
WHERE Registration = '99200';


Search if the entered 4 digit number is any sub number of any Registration number and return the Details.

SELECT *
FROM MASTER
WHERE Registration LIKE '%abcd%'
AND LENGTH(abcd) = 4;"
,"Retrieve the names of students with a CGPA greater than 9.

SELECT DISTINCT Name
FROM MASTER
WHERE CGPA>9;


Find the count of students from the 'Computer Science' UG-Specialization.

SELECT COUNT(Name)
FROM MASTER
WHERE Specialization = 'Computer Science';


Show details of students who have an academic gap of more than 1 year.

SELECT Name, Registration, DOB, Academic Gap
FROM MASTER
WHERE Academic Gap > 1;


Get the average CGPA for students in the 'Data Science' UG-Specialization.

SELECT AVG(CGPA)
FROM MASTER
WHERE Specialization = 'Data Science';


Find students from a specific city and state.

SELECT *
FROM MASTER
WHERE City = 'Bangalore' AND State = 'Karnataka';


Show the top 5 students based on their 12th percentage.

SELECT Name, Registration, Section, CGPA
FROM MASTER
ORDER BY `12-Percentage` DESC
LIMIT 5;


Retrieve details for students born after a certain date.

SELECT *
FROM MASTER
WHERE DOB > '1995-01-01';


using LIKE Method or Function

Retrieve complete details of the Student whose name starts with 'John'.

SELECT *
FROM MASTER
WHERE Name LIKE 'John%';


Find the Details of the Registration Number entered by user.

SELECT *
FROM MASTER
WHERE Registration = '99200';


Search if the entered 4 digit number is any sub number of any Registration number and return the Details.

SELECT *
FROM MASTER
WHERE Registration LIKE '%abcd%'
AND LENGTH(abcd) = 4;"
,"Retrieve the names of students with a CGPA greater than 9.

SELECT DISTINCT Name
FROM MASTER
WHERE CGPA>9;


Find the count of students from the 'Computer Science' UG-Specialization.

SELECT COUNT(Name)
FROM MASTER
WHERE Specialization = 'Computer Science';


Show details of students who have an academic gap of more than 1 year.

SELECT Name, Registration, DOB, Academic Gap
FROM MASTER
WHERE Academic Gap > 1;


Get the average CGPA for students in the 'Data Science' UG-Specialization.

SELECT AVG(CGPA)
FROM MASTER
WHERE Specialization = 'Data Science';


Find students from a specific city and state.

SELECT *
FROM MASTER
WHERE City = 'Bangalore' AND State = 'Karnataka';


Show the top 5 students based on their 12th percentage.

SELECT Name, Registration, Section, CGPA
FROM MASTER
ORDER BY `12-Percentage` DESC
LIMIT 5;


Retrieve details for students born after a certain date.

SELECT *
FROM MASTER
WHERE DOB > '1995-01-01';


using LIKE Method or Function

Retrieve complete details of the Student whose name starts with 'John'.

SELECT *
FROM MASTER
WHERE Name LIKE 'John%';


Find the Details of the Registration Number entered by user.

SELECT *
FROM MASTER
WHERE Registration = '99200';


Search if the entered 4 digit number is any sub number of any Registration number and return the Details.

SELECT *
FROM MASTER
WHERE Registration LIKE '%abcd%'
AND LENGTH(abcd) = 4;"
sanjay ,"SELECT Name, Registration, SECTION, CGPA
FROM MASTER
WHERE Name LIKE '%sanjay%';"
List of Students from Kavali,"```sql
SELECT Name, Registration, Section, CGPA
FROM MASTER
WHERE City = 'Kavali';
```"
List of Female students from Rayachoty,"SELECT Name, Registration, Section, CGPA
FROM MASTER
WHERE Gender = 'Female' AND City = 'Rayachoty';"
List of Female students from Kavali,"SELECT Name, Registration, Section, CGPA
FROM MASTER
WHERE Gender = 'Female' AND City = 'Kavali';"
